GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
job4j_grabber,ru.job4j.grabber,Config,6,28,0,0,2,8,0,3,0,3
job4j_grabber,ru.job4j.grabber,HtmlParse.new HashMap() {...},0,78,0,0,0,5,0,1,0,1
job4j_grabber,ru.job4j.grabber,Post,32,21,6,0,7,8,5,4,2,4
job4j_grabber,ru.job4j.grabber,TimeParse,40,0,0,0,14,0,3,0,3,0
job4j_grabber,ru.job4j.grabber,InitGrab,30,0,2,0,8,0,4,0,3,0
job4j_grabber,ru.job4j.grabber,HtmlParse,181,62,14,0,39,15,12,3,5,3
job4j_grabber,ru.job4j.grabber,ConnectionManager,18,79,0,2,5,23,1,6,1,5
job4j_grabber,ru.job4j.grabber,ExecuteJob,73,0,2,0,17,0,4,0,3,0
job4j_grabber,ru.job4j.grabber,SqlStore,30,138,1,7,10,42,1,10,0,7
job4j_grabber,ru.job4j,App,7,0,0,0,3,0,2,0,2,0
